Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
9300,0.0852054794848244,0.0024329793734106982,46,52,0.0019833239156226857,52,50,2.651693743903691,83,95,9.530725545839217e-5,49,93
9400,0.07539863407868434,0.002269487917163124,47,51,0.0019763322121103353,53,49,1.4590192806227316,95,89,9.257099755109266e-5,47,91
9500,0.08746351172198584,0.002157741638972888,48,50,0.0019298720056159582,53,48,1.7538037677183036,82,95,9.299371585389372e-5,48,93
9600,0.09342998279084917,0.0023542805255090966,49,49,0.001895367051874798,50,96,4.9618967443066655,61,76,0.00010002665779557573,46,91
9700,0.0871202920033721,0.002376051211663642,49,48,0.0018362418055283478,54,46,1.5972671186654561,36,54,9.54657090708425e-5,45,90
9800,0.11318832131190991,0.002202764614625489,50,47,0.0018735765338921944,48,95,2.7621448538424045,37,52,9.602404206366711e-5,45,91
9900,0.09782854726804828,0.002320989893952234,51,47,0.0018257717537045123,48,95,2.501079096120889,37,51,9.675553135181424e-5,44,90
10000,0.10968713272366305,0.0025139952443584152,52,46,0.0018050042082848206,46,94,3.4207244109655432,38,49,9.565593606901954e-5,43,89
10100,0.11773598116951575,0.0024267685704605756,53,45,0.0018426396784524367,46,94,3.7387326517708517,86,95,9.44457725633279e-5,43,90
10200,0.1986111899004824,0.0023378568815336787,54,44,0.0017725000306566957,45,94,12.017792951169424,39,46,9.33063775196949e-5,44,86
10300,0.134746266329,0.0025669550108168744,55,43,0.0018562268935414152,45,94,7.321011523244641,39,44,9.359855758867442e-5,42,90
10400,0.14829379131858475,0.0026003850438421957,57,43,0.0018305600691972818,43,93,9.68719004447143,40,43,9.232045923532274e-5,41,89
10500,0.1429580211136051,0.0024246034137700295,58,42,0.0018554629625967562,43,93,5.5500152551482556,40,41,9.14851809344974e-5,42,91
10600,0.14197766641378887,0.0025391967204733933,59,42,0.0019306387382524298,43,93,5.379248437158811,44,41,9.581541555682145e-5,40,89
10700,0.15811584177364443,0.0026746263604784694,60,41,0.001911583319384548,41,92,9.599902057067574,42,38,9.822601462655618e-5,40,90
10800,0.13300005619086597,0.0025588290623496596,61,40,0.0019937698128131183,41,92,4.87532982785762,43,37,0.00010073025681760857,39,89
10900,0.3135582756925797,0.0024746815460838763,62,40,0.001969572507648447,39,90,25.690926820480612,47,38,0.00010148088529264636,38,88
11000,0.13428698884133541,0.0026402703388085664,64,40,0.0019606986913218837,39,91,6.1358205830255175,48,37,0.00010469175222497471,37,87
11100,0.11851087596296656,0.0026868091993033226,65,40,0.0020405822685186613,37,89,4.07283365934841,46,32,0.00010713862130955107,36,86
11200,0.2818373651424028,0.002510286147513186,34,83,0.0019423957342017545,37,89,25.24115495425999,47,31,0.00010412298401911056,36,87
11300,0.12686933258773972,0.002658510800751336,33,82,0.001968767383047418,35,87,4.366449922568285,51,35,0.00010623096097764681,34,84
11400,0.12002937062069702,0.002824708288081925,32,81,0.0018980974850171112,35,88,3.7478328506527907,49,29,0.00010824442937340436,34,85
11500,0.1142941346195224,0.0027125790924140986,31,80,0.0018642989568316993,33,86,3.745049483022926,50,27,0.00010487299418195963,33,84
11600,0.12185931154620895,0.002714725953091914,31,80,0.0018508840790646616,33,86,3.6680030998600013,52,26,0.00010330599856483844,32,84
11700,0.1441058756930404,0.002914507615271608,30,79,0.001716503978405776,32,85,7.13241257144835,53,25,0.00010431351083019165,31,82
11800,0.11529898723250762,0.0028668684377093773,29,79,0.0017517424347445274,31,84,3.07439863258925,57,32,0.00010328317666532388,30,81
11900,0.13964512124797884,0.0026716226940648284,28,78,0.001693450508491283,64,49,5.053088850080346,55,23,9.653971985150423e-5,29,80
12000,0.13883847032718433,0.002772826027112105,28,77,0.001764294461649791,66,49,7.103290568565012,59,31,9.284158598021525e-5,28,79
12100,0.13367328771639617,0.0028541441157955063,27,76,0.0017977461872799756,67,49,6.3517659190641735,57,64,9.341244229926283e-5,28,80
12200,0.1330190630870638,0.003029374154017328,63,44,0.0018496443522001797,68,50,5.598639802895865,61,20,9.238576033153867e-5,62,45
12300,0.12999492301770652,0.0031943770024299807,64,44,0.00190559368091495,69,50,4.861827762599137,14,97,9.16460225866511e-5,64,45
12400,0.12366285994116505,0.0031516536671634546,66,44,0.001945749076932686,70,51,4.770112173682343,62,19,8.828634541322897e-5,70,49
12500,0.12447481343738298,0.0031459981902905417,68,44,0.0019697583238023064,72,51,3.9237629647481524,65,18,8.721688632447365e-5,70,50
12600,0.119018294147236,0.003307575903273986,69,44,0.0019964761996898867,73,52,3.0329904138080854,66,18,8.580729511342298e-5,71,51
12700,0.13088557150536625,0.0032801061318667017,71,44,0.0020440971976734557,74,53,3.0572473901601294,67,29,8.541317568849913e-5,71,52
12800,0.1279480353672532,0.003050408871050022,73,44,0.002043997644188873,76,53,3.4179509361644236,11,93,8.195927695468948e-5,73,52
12900,0.13034389867970686,0.0030575455336345437,74,44,0.002049328647899787,77,54,3.17257090257237,69,29,8.075509643933851e-5,73,54
13000,0.1586871648409654,0.0030494830579863583,76,44,0.002082730835902628,78,55,7.766852254780922,24,95,8.050026162127679e-5,74,54
13100,0.12402827490952822,0.002759530793557677,77,46,0.0020862596329879277,79,56,4.823256308230874,11,87,7.667407775283715e-5,73,56
13200,0.11981987491875777,0.0025997349532407557,79,46,0.0020771766592259412,79,58,3.134483492441123,11,86,7.698006885158544e-5,21,71
13300,0.11912999994089692,0.0025818889250014913,80,46,0.002086040574770605,80,59,3.1279213431437514,9,84,7.488930278892476e-5,75,58
13400,0.15705135105429066,0.0024135509646706064,81,48,0.0020937594259399697,81,60,10.770523874288346,9,83,7.354170050582272e-5,76,58
13500,0.11662528813239992,0.002371296362484735,90,50,0.0020826633015357384,82,61,3.5777846974612038,73,17,7.555362084934661e-5,19,68
13600,0.17903263038200953,0.002223225640023244,90,52,0.002034437564652631,82,63,12.012112999215999,18,84,7.092549603276635e-5,18,66
13700,0.12480943414062576,0.002048054328417233,91,53,0.002053109306990168,84,64,4.489170016887752,7,79,6.862489824346663e-5,77,62
13800,0.2432552676523989,0.002144545766401081,91,56,0.002069629425808575,85,66,16.59702704109314,76,18,6.861638742073912e-5,17,64
13900,0.1130869742064518,0.002075943455417572,17,60,0.002081798735917046,86,67,3.1233083984677603,15,76,6.878636523783839e-5,17,62
14000,0.1383257825590284,0.0018908730710697277,16,60,0.0020975478650510668,86,69,6.38106989417656,5,74,6.270066247100601e-5,16,62
14100,0.12963908210698066,0.001859916509808381,16,58,0.0021133046559246907,86,70,4.885045903057887,3,70,6.15605308677765e-5,16,60
14200,0.11863490268661371,0.0019685046017068313,16,57,0.002093183466097036,87,71,4.162954418784999,12,81,6.363267592725713e-5,16,58
14300,0.12129342785945742,0.0017788113228801913,15,56,0.002059755847831223,86,73,7.117651872999023,3,67,5.826451469231338e-5,15,58
14400,0.18442643195831168,0.0017068152177830039,15,55,0.0020345428709880303,87,74,14.235953303941265,10,80,5.4319020620377604e-5,15,56
14500,0.10193002050607865,0.0017486630084275392,15,54,0.0019799403589933822,87,75,3.531298541589994,82,34,5.5075367760960354e-5,14,56
14600,0.10551824506487939,0.0017143845370095733,15,52,0.0019756514671208725,24,53,4.383990390714367,8,78,5.4837445597504225e-5,16,58
14700,0.09728479371821147,0.0015779419768579689,14,52,0.0019678773679216287,24,52,4.294193199442704,83,35,5.1333508459190744e-5,16,58
14800,0.09567100198111302,0.0015089298480881613,14,51,0.0019416326947575306,24,51,3.318449239137862,84,36,5.2100514889307534e-5,16,57
14900,0.13475644849712404,0.0016334254142950349,14,49,0.0019367811295068794,24,50,7.906480834435245,6,76,5.937728110157799e-5,16,56
15000,0.15732256540130923,0.001517205212329665,14,48,0.0019284768548601004,24,49,8.821749006733466,9,95,5.657925862279805e-5,16,55
15100,0.13180893832789062,0.0013867591911143843,14,47,0.0018817537875108975,25,48,9.137377533746701,25,95,5.285450978422435e-5,16,54
15200,0.12335660472585001,0.0014766223950297783,14,46,0.001849007844742857,25,47,8.361876714356043,16,95,5.904202596385426e-5,16,53
15300,0.11047066639090353,0.001453533896295633,14,44,0.0018258659394103996,24,46,3.1297379545228403,82,24,5.9467682466220586e-5,16,52
15400,0.10534645359653799,0.0013465850578914078,14,43,0.0017824513822740544,24,45,3.8945252469025835,8,60,5.517852229044854e-5,16,51
15500,0.10101336430463237,0.0013374923015532485,14,42,0.001724993118801023,24,44,2.7155808252293516,4,70,5.5569932131171724e-5,16,50
15600,0.10361646426404245,0.0014209058810201337,14,41,0.0016867666574211307,24,43,2.679889018307446,4,69,6.061100259751478e-5,16,49
15700,0.09542465863105393,0.0013681905813558246,14,40,0.0016614541462222996,26,43,1.9005475357012722,84,25,5.908507835025256e-5,16,48
15800,0.12010679875440901,0.0012594262368648707,14,39,0.0016200818344897956,25,42,4.338320703957079,90,27,5.464834169229449e-5,16,47
15900,0.11417400823326691,0.001366243251228064,14,38,0.0016020406167319857,25,41,6.473933588171089,93,29,6.099521365354949e-5,16,46
16000,0.08861466042653554,0.0013822058033610453,14,37,0.0015935823426902482,25,40,3.596252657858012,2,62,6.29892730549395e-5,16,45
16100,0.08478888040874036,0.0012922534849438769,15,37,0.001568462168159225,24,39,3.242424831259261,2,61,5.835438095592256e-5,16,44
16200,0.1082568561786829,0.0013396162060694723,15,36,0.0015479316463415278,24,38,7.418539701842411,2,60,6.049910436216788e-5,17,44
16300,0.09693037157814283,0.0014236206666321007,15,35,0.0015326132086615008,24,37,6.287939896947238,2,59,6.562564536131564e-5,17,43
16400,0.08239220673116246,0.0014029940393006299,15,34,0.0015286634889330655,24,36,2.9247364399963076,2,58,6.527840125394521e-5,17,42
16500,0.07880740088964082,0.0013559680771048216,16,34,0.0014959722648706843,24,35,2.4608399243338903,2,57,6.214930242675037e-5,17,41
16600,0.1583043411292385,0.0014595653671407582,16,33,0.0014800884802171873,26,35,13.444652939696562,95,33,6.671961915180027e-5,17,40
16700,0.0755009368118923,0.001523686982795102,16,32,0.001491847795873696,26,34,2.5884542911380857,2,54,6.973183449386611e-5,17,38
16800,0.12665951096063416,0.001449677303074253,17,32,0.0014694672752729992,26,33,9.739128154843767,98,43,6.526052073704618e-5,18,39
16900,0.0813791478015021,0.0015098373230159022,17,31,0.0014576148397899887,26,32,2.0818564712845586,98,44,6.79413884007744e-5,18,37
17000,0.08052790375501256,0.0015991985319016022,17,30,0.0014478506681264575,26,31,2.3422080827664717,2,51,7.240937068309485e-5,18,36
17100,0.08452023794479945,0.0015966253918677613,18,29,0.0014347669551426166,26,30,2.04452538276171,2,50,7.004840746878903e-5,18,34
17200,0.18746483771228298,0.0015806787278015468,18,28,0.0014133367851507025,26,29,12.65522207025113,11,93,6.915788297559642e-5,19,35
17300,0.09977961539617256,0.001651166316933933,19,27,0.0013942803148890015,28,29,4.014599546713393,97,40,7.272468728043225e-5,19,33
17400,0.10678302934412154,0.001727834557316378,19,26,0.0014085347360853363,28,28,3.360251372274818,96,38,7.511135324175875e-5,20,34
17500,0.13973293350683783,0.0016690101577934678,19,25,0.0013910879954167413,28,27,8.385225844947438,97,41,7.299901419411986e-5,20,32
17600,0.12844016491953283,0.0017182064575565412,20,25,0.0013715726232381275,28,26,7.172410119656823,9,88,7.432942425535994e-5,20,31
17700,0.11398273828663148,0.0018070728831526585,21,24,0.001370116900075418,28,25,5.7318682189477785,97,42,7.982133344847347e-5,21,31
17800,0.11837077453332258,0.0018139653153214884,21,23,0.0013527632602630645,30,25,3.164489361515178,2,6,7.911645690019244e-5,21,30
17900,0.1421172183190314,0.0018083318513985487,22,22,0.0013562722237396123,30,24,7.122283727643461,21,91,7.754508337032317e-5,22,30
18000,0.10885570802211388,0.0018899076875184967,22,21,0.0013442270341332604,30,23,1.9482403305725584,8,31,8.249841878861996e-5,22,28
18100,0.11623468246201873,0.0019559205230885238,23,21,0.0013392704803843643,30,22,4.491745870072301,98,54,8.406782329360382e-5,23,28
