Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
186001,49.1477,1.38192,0.0619095,398,320,0.0503862,367,433,312.448,509,148,0.0025957,329,435,
187001,49.4119,0.984343,0.0617911,400,334,0.0526598,408,326,139.692,549,68,0.00445747,408,326,
188001,49.6762,1.34663,0.0593473,398,311,0.0551137,400,364,209.309,126,306,0.00417456,408,326,
189001,49.9404,0.879867,0.0534349,397,290,0.055428,396,359,101.224,322,295,0.00454234,397,357,
190001,50.2046,1.40641,0.0503777,402,272,0.0540711,397,357,395.303,566,34,0.00456449,397,357,
191001,50.4689,1.44262,0.0587744,396,255,0.0560887,385,239,322.076,572,22,0.00341414,222,435,
192001,50.7331,1.63799,0.0375025,353,238,0.049634,377,231,438.181,374,230,0.00445292,344,435,
193001,50.9973,1.10419,0.0347947,438,271,0.0406016,367,433,246.176,151,139,0.00460886,294,435,
194001,51.2616,1.98227,0.0369791,406,325,0.0367713,367,432,486.28,532,102,0.00401606,301,435,
195001,51.5258,1.69495,0.0385406,414,295,0.0384652,368,430,411.874,558,50,0.00495397,252,435,
196001,51.79,0.975229,0.0403896,421,268,0.0349259,367,433,97.929,332,264,0.00523401,276,435,
197001,52.0543,0.840162,0.037416,426,242,0.0440622,367,433,52.8643,415,336,0.00443301,300,435,
198001,52.3185,3.76576,0.0392495,406,340,0.046158,385,391,1457.14,169,103,0.0037653,329,435,
199001,52.5827,0.94717,0.0371349,420,313,0.0449078,399,358,86.1348,403,360,0.00350161,289,435,
200001,52.847,1.1887,0.0488824,403,341,0.0407652,413,180,175.994,554,17,0.00341894,312,435,
201001,53.1112,1.06201,0.0546631,405,333,0.0476528,387,385,189.683,429,308,0.00325194,335,435,
202001,53.3754,1.01448,0.0495741,420,306,0.0425684,407,348,127.621,466,234,0.00316295,386,385,
203001,53.6397,0.83838,0.052281,403,309,0.0465364,414,335,47.3604,333,87,0.00275433,371,420,
204001,53.9039,0.937043,0.0466405,411,291,0.0536295,423,315,96.5822,423,320,0.00312761,372,417,
205001,54.1681,1.18492,0.0512445,445,250,0.0562849,367,432,216.965,419,328,0.00246005,316,435,
206001,54.4324,3.92277,0.0496878,399,354,0.0423495,367,432,1498.21,212,17,0.00251533,339,435,
207001,54.6966,0.999705,0.0467673,418,303,0.0603602,400,358,78.6991,369,406,0.00311295,400,358,
208001,54.9608,1.37022,0.0521729,411,329,0.0471916,424,273,220.283,473,219,0.00329927,400,347,
209001,55.2251,0.881626,0.0529315,421,307,0.0453608,366,434,106.666,386,394,0.00293071,396,358,
210001,55.4893,1.10741,0.0451302,428,292,0.0498973,366,434,133.418,374,83,0.00349633,368,430,
211001,55.7535,1.81698,0.0512145,432,275,0.0500611,436,286,588.276,370,428,0.00429768,303,435,
212001,56.0178,1.34554,0.054912,437,256,0.0478927,443,267,299.331,347,71,0.00465507,330,435,
213001,56.282,1.06392,0.0530894,437,232,0.0596747,431,302,232.718,139,260,0.00421809,396,362,
214001,56.5462,1.1807,0.0521352,437,212,0.0532796,437,290,300.392,539,88,0.00313153,368,430,
215001,56.8105,0.975013,0.050469,414,325,0.0531773,412,321,140.223,392,382,0.00408719,412,322,
216001,57.0747,1.06149,0.0528154,425,200,0.0539751,367,432,132.091,421,324,0.00413479,398,354,
217001,57.3389,1.35774,0.0519308,410,192,0.0506503,367,432,245.008,73,295,0.00339347,421,284,
218001,57.6032,2.40554,0.0564105,429,278,0.048874,367,432,693.954,215,15,0.00292281,418,287,
219001,57.8674,1.36814,0.0537911,437,258,0.0481051,429,293,343.733,396,175,0.00279828,366,434,
220001,58.1316,1.32108,0.0615175,446,234,0.0459502,367,433,327.039,230,199,0.00281025,366,434,
221001,58.3959,1.04956,0.0482568,443,232,0.0472395,367,433,164.651,70,303,0.00291279,366,434,
222001,58.6601,0.923606,0.0511783,457,188,0.0451732,367,433,125.234,372,129,0.00232582,444,202,
223001,58.9243,1.08671,0.054602,462,165,0.040808,358,143,181.583,304,1,0.00239243,387,384,
224001,59.1886,0.852614,0.0506131,464,147,0.0434155,367,432,101.266,479,208,0.00247585,402,354,
225001,59.4528,1.11126,0.0411913,464,131,0.0504555,367,432,240.574,502,161,0.0030684,420,316,
