Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
149001,150.514,1.84718,0.0173577,75,23,0.0204576,59,28,160.867,161,39,0.00104842,47,54,
150001,151.524,0.956261,0.0152829,158,5,0.0174255,49,48,40.3794,67,15,0.000929693,155,26,
151001,152.534,1.17433,0.0295748,150,2,0.0352573,152,12,99.0291,134,1,0.00145422,142,15,
152001,153.544,1.71971,0.0337431,153,2,0.0276422,149,17,119.73,155,8,0.00159461,130,3,
153001,154.554,0.840575,0.0213108,160,13,0.0319699,152,18,39.5494,22,101,0.00167304,152,19,
154001,155.565,0.965985,0.0228435,150,4,0.0259867,152,17,34.8105,91,5,0.00140682,151,26,
155001,156.575,0.961733,0.0197469,147,4,0.0175321,49,48,54.7461,80,14,0.00113877,141,14,
156001,157.585,0.775228,0.0220482,148,4,0.0190693,149,15,26.232,18,107,0.00135092,141,14,
157001,158.595,1.29351,0.0236635,157,14,0.0217343,161,8,88.0237,183,5,0.00109649,142,16,
158001,159.605,0.615391,0.0129613,37,137,0.0161402,156,10,14.9381,22,100,0.000917043,151,28,
159001,160.615,2.73456,0.0197583,158,3,0.0162257,47,53,303.364,60,26,0.000854953,132,3,
160001,161.625,0.924964,0.0124791,62,35,0.0175285,49,49,53.8716,84,1,0.000791429,36,79,
161001,162.636,0.741172,0.011399,38,137,0.0125293,38,72,37.9482,93,2,0.000737711,39,72,
162001,163.646,1.00077,0.012454,149,2,0.0152683,148,13,54.5376,25,101,0.000944466,147,21,
163001,164.656,1.28476,0.0170788,145,2,0.0187341,147,12,96.6174,169,1,0.00109328,147,21,
164001,165.666,1.03724,0.0203109,158,3,0.0243519,146,13,50.767,77,12,0.00138159,147,20,
165001,166.676,0.861848,0.0214281,158,18,0.0293742,148,14,39.3092,169,19,0.00178475,146,21,
166001,167.686,1.15945,0.0256526,143,4,0.0340565,157,20,52.2133,178,18,0.0019675,146,21,
167001,168.696,3.00983,0.0345478,147,2,0.0273767,148,12,372.906,23,97,0.00150234,148,20,
168001,169.707,1.37408,0.0290054,131,3,0.0245452,157,24,50.0799,173,19,0.00161384,130,3,
169001,170.717,0.850396,0.0242714,147,2,0.0266975,156,22,32.8293,108,1,0.00165336,147,22,
